id_gato,id_tutor_hash,data_coleta,sexo,idade_anos,peso_kg,energia_0a100,vacinado,castrado,pelagem,cor,temperamento,alimentacao,visitas_vet_ult_ano,gosta_caixa,score_saude_0a100
G00001,T7473812803,2025-03-05,M,6,6.7,64,True,True,longa,branco,brincalhão,ração seca,1,True,78
G00002,T1374527564,2025-11-01,F,11,4.7,44,False,True,média,cinza,brincalhão,mista,1,True,63
G00003,T8618306824,2025-03-09,F,3,4.8,68,True,True,curta,cinza,calmo,ração úmida,0,True,86
G00004,T6318239423,2025-03-16,M,2,4.9,70,True,True,curta,cinza,arisco,ração seca,0,True,88
G00005,T7884989716,2025-06-19,F,6,4.9,64,True,True,curta,preto,brincalhão,mista,2,True,77
G00006,T5261404609,2025-06-06,M,0,4.7,65,True,True,curta,siamês,calmo,mista,2,False,89
G00007,T8668139651,2025-04-25,M,3,5.6,55,True,True,longa,tricolor,brincalhão,ração seca,2,True,81
G00008,T1042672536,2025-05-11,F,4,3.5,74,True,True,curta,siamês,calmo,ração seca,2,False,82
G00009,T2042710519,2025-04-18,M,6,3.3,58,True,True,curta,branco,carinhoso,ração seca,3,True,74
G00010,T2262241800,2025-11-30,M,3,5.1,43,True,True,curta,laranja,carinhoso,ração úmida,1,True,81
G00011,T4367656390,2025-07-31,F,7,3.2,50,True,True,média,tricolor,caçador,ração seca,0,False,76
G00012,T9785155516,2025-12-02,M,13,6.4,57,True,True,média,laranja,carinhoso,ração seca,1,False,63
G00013,T7394794945,2025-12-27,M,7,4.7,53,False,True,curta,siamês,arisco,mista,0,True,74
G00014,T2615428651,2025-08-26,M,3,4.1,60,True,True,curta,laranja,brincalhão,ração seca,2,True,82
G00015,T6288801149,2025-10-29,F,0,5.9,57,True,True,curta,tricolor,caçador,ração seca,0,True,91
G00016,T6939961469,2025-02-10,M,1,4.7,65,True,False,curta,tigrado,caçador,ração seca,1,True,88
G00017,T1941535871,2025-12-13,F,7,4.3,41,False,False,curta,tigrado,brincalhão,ração seca,2,True,69
G00018,T3690492860,2025-06-26,M,9,5.8,55,True,True,longa,laranja,brincalhão,mista,2,True,69
G00019,T7737472175,2025-09-18,F,0,4.6,76,True,True,média,laranja,caçador,ração seca,1,False,92
G00020,T3383264595,2025-03-31,M,2,5.5,65,True,True,curta,branco,brincalhão,ração seca,1,True,86
G00021,T9163932599,2025-02-04,M,4,3.9,55,True,True,curta,preto,calmo,ração seca,3,False,78
G00022,T8026561279,2025-11-19,F,4,4.7,82,True,True,curta,tricolor,arisco,ração seca,0,True,86
G00023,T3793012065,2025-06-14,F,16,4.6,22,False,True,média,branco,caçador,mista,0,False,51
G00024,T8977625980,2025-02-20,M,2,4.1,61,False,True,curta,tigrado,brincalhão,ração seca,0,True,85
G00025,T6957248632,2025-08-29,M,0,4.6,72,True,True,média,laranja,brincalhão,ração seca,3,True,88
G00026,T9973311920,2025-01-20,F,4,3.0,63,True,False,média,preto,caçador,mista,1,True,82
G00027,T6677490163,2025-06-14,M,1,5.3,78,True,True,curta,tigrado,arisco,ração seca,2,True,89
