id_gato,id_tutor_hash,data_coleta,sexo,idade_anos,peso_kg,energia_0a100,castrado,visitas_vet_ult_ano,pelagem,cor,temperamento,alimentacao,gosta_caixa,vacinado,score_saude_0a100
G00001,T8124524962,2025-04-24,F,11,3.5,48,True,1,curta,tigrado,carinhoso,ração úmida,True,False,64
G00002,T6633871345,2025-07-03,F,6,4.1,42,True,1,média,laranja,caçador,mista,True,False,73
G00003,T5786913226,2025-11-30,M,13,4.2,31,True,3,curta,branco,brincalhão,ração seca,True,True,56
G00004,T4225003581,2025-07-20,M,10,6.7,59,False,1,média,preto,brincalhão,ração seca,True,False,67
G00005,T8279683542,2025-09-21,M,1,4.8,84,True,0,curta,tricolor,caçador,mista,True,False,91
G00006,T4912091439,2025-02-20,M,16,5.5,26,True,5,curta,branco,brincalhão,ração seca,True,True,46
G00007,T5860241559,2025-10-10,M,11,5.5,66,True,1,média,siamês,brincalhão,ração seca,True,False,66
G00008,T9990099792,2025-12-15,F,11,5.2,40,True,3,curta,preto,calmo,ração úmida,True,True,62
G00009,T3546561311,2025-05-10,M,2,5.4,75,False,0,curta,cinza,brincalhão,ração seca,True,False,87
G00010,T4815616458,2025-10-19,M,6,3.9,63,True,5,curta,tigrado,calmo,mista,True,True,72
G00011,T1730026645,2025-03-16,F,5,5.3,45,True,1,curta,siamês,carinhoso,mista,True,False,75
G00012,T4025894839,2025-11-25,F,15,5.7,32,True,2,longa,laranja,caçador,ração seca,True,True,54
G00013,T9057497873,2025-09-10,M,9,5.2,78,True,2,curta,tigrado,calmo,mista,True,True,73
G00014,T3422186329,2025-08-07,M,12,5.4,30,True,2,curta,laranja,arisco,ração seca,True,True,60
G00015,T8525713943,2025-08-04,F,6,2.2,66,True,2,média,tricolor,arisco,ração úmida,True,True,77
G00016,T5831392001,2025-10-31,M,3,3.9,53,False,0,curta,tigrado,caçador,ração seca,False,False,82
G00017,T5879553797,2025-04-06,F,7,4.9,44,False,0,curta,cinza,arisco,mista,True,False,73
G00018,T9843588367,2025-03-07,F,1,4.9,55,False,0,longa,siamês,caçador,mista,True,False,86
G00019,T5203068997,2025-08-09,M,12,6.0,53,True,3,curta,tigrado,calmo,ração seca,True,True,61
G00020,T3736806311,2025-11-08,F,9,4.6,39,False,1,longa,cinza,brincalhão,ração seca,False,False,66
G00021,T6796904562,2025-12-02,M,11,6.7,59,True,4,curta,preto,arisco,ração seca,True,True,63
