id_gato,id_tutor_hash,data_coleta,sexo,idade_anos,peso_kg,energia_0a100,castrado,visitas_vet_ult_ano,pelagem,cor,temperamento,alimentacao,gosta_caixa,vacinado,score_saude_0a100
G00001,T3543364702,2025-02-02,M,11.0,4.7,32,VERDADEIRO,2,curta,preto,arisco,ração seca,VERDADEIRO,VERDADEIRO,62
G00002,T3333628084,2025-01-12,M,6.0,5.7,65,FALSO,1,curta,tigrado,brincalhão,ração úmida,FALSO,FALSO,76
G00003,T3550413388,2025-09-21,M,13.0,4.6,40,VERDADEIRO,3,longa,tricolor,carinhoso,mista,VERDADEIRO,VERDADEIRO,58
G00004,T4042133489,2025-11-30,M,10.0,5.1,49,VERDADEIRO,1,curta,branco,arisco,ração seca,VERDADEIRO,FALSO,66
G00005,T6443421022,2025-01-20,F,1.0,3.7,96,FALSO,0,curta,laranja,arisco,mista,VERDADEIRO,FALSO,92
G00006,T6252087897,2025-04-30,M,16.0,,15,VERDADEIRO,1,curta,cinza,caçador,mista,VERDADEIRO,FALSO,49
G00007,T3301405782,2025-08-10,F,11.0,4.3,44,FALSO,0,média,preto,brincalhão,ração seca,VERDADEIRO,FALSO,65
G00008,T2857818489,2025-09-15,M,11.0,5.2,48,VERDADEIRO,3,curta,laranja,carinhoso,ração úmida,VERDADEIRO,,63
G00009,T8437223710,2025-09-26,F,2.0,4.0,61,FALSO,0,curta,tigrado,calmo,ração úmida,VERDADEIRO,FALSO,85
G00010,T1834510039,2025-09-11,M,6.0,4.5,59,VERDADEIRO,1,longa,branco,carinhoso,ração seca,VERDADEIRO,FALSO,75
G00011,T5615405570,2025-01-31,F,5.0,4.7,42,FALSO,1,curta,tricolor,arisco,ração seca,VERDADEIRO,FALSO,75
G00012,T5685047867,2025-04-03,F,15.0,5.0,50,FALSO,3,curta,siamês,caçador,ração seca,VERDADEIRO,VERDADEIRO,55
G00013,T6167231261,2025-06-21,M,9.0,5.2,42,VERDADEIRO,1,longa,preto,brincalhão,mista,VERDADEIRO,FALSO,67
G00014,T8970851043,2025-01-24,F,12.0,4.5,66,VERDADEIRO,2,curta,branco,caçador,ração seca,FALSO,VERDADEIRO,65
G00015,T6615225460,2025-05-06,M,6.0,5.6,58,VERDADEIRO,1,curta,cinza,arisco,ração seca,VERDADEIRO,VERDADEIRO,77
G00016,T9762703896,2025-05-21,M,3.0,4.6,79,VERDADEIRO,3,curta,tricolor,brincalhão,ração seca,FALSO,VERDADEIRO,83
G00017,T8842177750,2025-12-24,F,7.0,4.3,55,FALSO,2,média,preto,,mista,VERDADEIRO,VERDADEIRO,73
G00018,T2932662335,2025-04-26,F,1.0,4.1,72,VERDADEIRO,1,longa,laranja,calmo,ração úmida,VERDADEIRO,FALSO,87
G00019,T3170649792,2025-12-21,M,12.0,6.6,34,VERDADEIRO,4,média,laranja,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,57
G00020,T4102967223,2025-09-13,M,,4.3,51,FALSO,3,média,preto,arisco,mista,VERDADEIRO,VERDADEIRO,67
G00021,T4523629735,2025-09-10,F,110.0,5.3,48,VERDADEIRO,0,curta,preto,,ração seca,VERDADEIRO,FALSO,65
G00022,T5976956082,2025-10-27,F,,,54,VERDADEIRO,2,curta,preto,caçador,ração seca,FALSO,VERDADEIRO,79
G00023,T3092613696,2025-11-04,F,16.0,5.0,29,VERDADEIRO,1,curta,preto,carinhoso,ração seca,VERDADEIRO,FALSO,51
G00024,T3001106630,2025-03-23,F,14.0,5.9,28,VERDADEIRO,2,curta,laranja,arisco,mista,VERDADEIRO,VERDADEIRO,55
G00025,T4432509616,2025-06-03,F,11.0,5.1,72,VERDADEIRO,3,curta,siamês,carinhoso,mista,VERDADEIRO,VERDADEIRO,66
G00026,T7048208018,2025-07-12,M,200.0,4.9,68,VERDADEIRO,3,média,cinza,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,84
G00027,T7193130517,2025-12-23,F,6.0,4.0,77,VERDADEIRO,2,curta,branco,brincalhão,mista,VERDADEIRO,VERDADEIRO,79
G00028,T9785050660,2025-01-15,M,0.0,4.6,73,FALSO,0,curta,branco,arisco,mista,VERDADEIRO,FALSO,91
G00029,T2821738905,2025-06-24,F,2.0,4.0,73,FALSO,1,curta,siamês,caçador,mista,VERDADEIRO,FALSO,85
G00030,T4535732366,2025-03-20,M,9.0,4.7,34,VERDADEIRO,0,curta,siamês,calmo,mista,VERDADEIRO,FALSO,67
G00031,T9682097481,2025-03-17,F,11.0,4.6,39,VERDADEIRO,1,curta,tigrado,calmo,mista,VERDADEIRO,FALSO,62
G00032,T7210078683,2025-10-06,F,160.0,,33,VERDADEIRO,3,curta,laranja,calmo,ração seca,VERDADEIRO,VERDADEIRO,50
G00033,T6330506723,2025-03-15,F,4.0,3.7,83,VERDADEIRO,0,curta,branco,brincalhão,ração seca,VERDADEIRO,FALSO,84
G00034,T5856814462,2025-10-17,F,5.0,3.8,64,FALSO,2,curta,siamês,calmo,mista,VERDADEIRO,,77
G00035,T1679593421,2025-12-29,M,6.0,,75,VERDADEIRO,0,média,preto,calmo,ração úmida,FALSO,VERDADEIRO,81
G00036,T9040364279,2025-10-11,F,2.0,4.4,77,FALSO,0,média,branco,calmo,ração seca,FALSO,FALSO,88
G00037,T6629546938,2025-03-04,M,2.0,5.1,89,FALSO,0,média,tigrado,brincalhão,mista,VERDADEIRO,FALSO,89
G00038,T6145006671,2025-02-21,M,6.0,5.2,57,VERDADEIRO,3,média,branco,carinhoso,mista,VERDADEIRO,VERDADEIRO,74
G00039,T5855503089,2025-06-09,M,3.0,5.5,95,FALSO,1,longa,preto,calmo,mista,VERDADEIRO,FALSO,87
G00040,T4527227865,2025-07-21,M,9.0,5.3,44,VERDADEIRO,4,curta,tigrado,brincalhão,mista,VERDADEIRO,VERDADEIRO,65
G00041,T3291982222,2025-10-12,M,6.0,5.3,49,VERDADEIRO,1,média,preto,caçador,ração seca,VERDADEIRO,FALSO,74
G00042,T7797897868,2025-06-04,F,12.0,5.1,27,VERDADEIRO,2,curta,branco,calmo,mista,VERDADEIRO,VERDADEIRO,59
G00043,T5586107659,2025-03-02,,10.0,,75,FALSO,0,curta,tigrado,caçador,mista,VERDADEIRO,FALSO,71
G00044,T1305455790,2025-12-28,F,4.0,3.9,74,FALSO,0,curta,branco,arisco,ração seca,FALSO,FALSO,83
G00045,T4591850497,2025-11-27,M,12.0,,37,VERDADEIRO,2,curta,tricolor,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,61
G00046,T9357432744,2025-08-27,M,12.0,5.1,56,VERDADEIRO,3,média,preto,brincalhão,mista,FALSO,VERDADEIRO,62
G00047,T4365051053,2025-09-11,M,5.0,4.5,69,VERDADEIRO,2,curta,tigrado,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,79
G00048,T4719097071,2025-12-08,F,4.0,4.6,87,FALSO,1,média,preto,brincalhão,ração seca,VERDADEIRO,FALSO,84
G00049,T6615650107,2025-06-23,F,9.0,4.8,31,VERDADEIRO,3,média,tricolor,calmo,ração seca,VERDADEIRO,FALSO,62
G00050,T8215073234,2025-02-23,M,2.0,3.8,66,FALSO,0,curta,tricolor,brincalhão,ração seca,VERDADEIRO,,86
G00051,T7016150059,2025-08-10,F,2.0,4.9,64,FALSO,0,curta,tricolor,caçador,ração seca,VERDADEIRO,FALSO,86
G00052,T8650492580,2025-06-14,M,0.0,4.5,51,VERDADEIRO,0,curta,branco,calmo,mista,VERDADEIRO,VERDADEIRO,90
G00053,T2025735283,2025-10-19,M,11.0,4.6,57,VERDADEIRO,1,curta,branco,,ração úmida,VERDADEIRO,FALSO,65
G00054,T9321332979,2025-10-09,M,9.0,6.1,47,VERDADEIRO,3,longa,siamês,carinhoso,mista,VERDADEIRO,VERDADEIRO,67
G00055,T9135297391,2025-06-22,M,10.0,5.7,56,VERDADEIRO,0,média,tricolor,,ração seca,VERDADEIRO,FALSO,68
G00056,T5672337279,2025-05-15,F,11.0,3.9,73,FALSO,1,média,branco,calmo,ração seca,VERDADEIRO,FALSO,67
G00057,T6622680140,2025-06-04,F,6.0,5.7,54,VERDADEIRO,1,curta,preto,arisco,ração seca,VERDADEIRO,FALSO,75
G00058,T2915317451,2025-08-19,M,8.0,5.6,48,FALSO,3,média,cinza,brincalhão,mista,VERDADEIRO,VERDADEIRO,69
G00059,T5031526941,2025-08-21,F,2.0,4.1,71,FALSO,1,média,tigrado,caçador,mista,VERDADEIRO,FALSO,85
G00060,T2824330248,2025-07-06,F,1.0,5.2,84,FALSO,3,curta,cinza,calmo,ração seca,VERDADEIRO,FALSO,86
G00061,T1197790110,2025-07-14,F,9.0,4.7,43,VERDADEIRO,3,curta,tricolor,calmo,mista,VERDADEIRO,VERDADEIRO,66
G00062,T9828127613,2025-12-29,,6.0,4.4,51,VERDADEIRO,0,curta,laranja,brincalhão,ração seca,FALSO,FALSO,76
G00063,T3332318641,2025-04-03,M,8.0,4.7,65,FALSO,0,curta,siamês,brincalhão,ração seca,VERDADEIRO,FALSO,74
G00064,T6337974780,2025-03-05,F,11.0,5.2,49,VERDADEIRO,1,média,siamês,,mista,VERDADEIRO,VERDADEIRO,66
G00065,T3702253451,2025-10-19,M,9.0,5.6,25,VERDADEIRO,0,curta,laranja,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,68
G00066,T4335594581,2025-12-08,,7.0,4.5,41,FALSO,0,curta,tricolor,brincalhão,mista,FALSO,FALSO,72
G00067,T4579854027,2025-08-11,M,8.0,,71,VERDADEIRO,1,longa,laranja,arisco,ração seca,VERDADEIRO,FALSO,73
G00068,T4015420581,2025-05-27,F,4.0,4.4,69,FALSO,0,curta,preto,brincalhão,mista,VERDADEIRO,FALSO,82
G00069,T6736597834,2025-05-08,M,0.0,4.6,66,FALSO,0,curta,cinza,calmo,ração seca,VERDADEIRO,,90
G00070,T9648426434,2025-06-20,M,6.0,4.1,56,VERDADEIRO,3,longa,cinza,calmo,ração seca,VERDADEIRO,VERDADEIRO,74
G00071,T4857711850,2025-01-20,F,3.0,3.2,67,FALSO,1,longa,siamês,calmo,ração seca,FALSO,FALSO,83
G00072,T9759940516,2025-07-12,F,5.0,4.7,70,FALSO,0,média,tricolor,caçador,mista,VERDADEIRO,FALSO,80
G00073,T7010175136,2025-04-09,M,13.0,3.6,22,VERDADEIRO,1,curta,branco,brincalhão,ração úmida,VERDADEIRO,FALSO,56
G00074,T6464225755,2025-04-07,F,3.0,4.4,57,FALSO,0,longa,preto,brincalhão,ração úmida,VERDADEIRO,FALSO,83
G00075,T3133934666,2025-07-24,F,1.0,3.7,75,VERDADEIRO,1,média,laranja,arisco,ração seca,VERDADEIRO,FALSO,88
G00076,T1566286353,2025-12-18,,4.0,5.8,63,FALSO,0,média,laranja,calmo,ração seca,VERDADEIRO,FALSO,81
G00077,T8667412932,2025-03-17,F,4.0,3.9,71,VERDADEIRO,1,curta,tricolor,carinhoso,ração seca,FALSO,FALSO,81
G00078,T6165829575,2025-11-29,F,,5.1,35,VERDADEIRO,0,curta,branco,arisco,mista,FALSO,FALSO,67
G00079,T4729724761,2025-07-09,F,8.0,4.3,57,VERDADEIRO,0,média,tricolor,carinhoso,ração seca,VERDADEIRO,VERDADEIRO,75
G00080,T8307705898,2025-12-22,,11.0,5.4,57,FALSO,1,média,cinza,calmo,ração seca,VERDADEIRO,FALSO,65
G00081,T3795223443,2025-05-20,M,9.0,5.7,56,FALSO,3,curta,cinza,calmo,ração úmida,FALSO,VERDADEIRO,68
G00082,T8052555303,2025-12-30,F,5.0,4.0,63,FALSO,2,curta,cinza,carinhoso,ração úmida,VERDADEIRO,,78
G00083,T3951674518,2025-08-29,,12.0,5.5,40,VERDADEIRO,1,média,siamês,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,62
G00084,T9287930677,2025-09-02,F,,3.4,59,VERDADEIRO,1,curta,cinza,calmo,ração seca,VERDADEIRO,VERDADEIRO,85
G00085,T3411701870,2025-07-25,F,,4.2,74,FALSO,0,curta,laranja,arisco,ração seca,VERDADEIRO,FALSO,91
G00086,T2237987058,2025-06-14,F,1.0,4.7,87,FALSO,0,curta,siamês,arisco,mista,FALSO,FALSO,91
G00087,T7282870375,2025-07-11,F,10.0,5.2,46,VERDADEIRO,1,curta,preto,caçador,ração seca,FALSO,FALSO,65
G00088,T2465625277,2025-11-07,,6.0,,48,VERDADEIRO,2,média,laranja,caçador,mista,VERDADEIRO,VERDADEIRO,74
G00089,T9544267452,2025-10-17,F,2.0,3.6,63,FALSO,0,curta,tigrado,arisco,ração seca,VERDADEIRO,,85
G00090,T6899996011,2025-01-09,M,7.0,4.1,58,FALSO,2,curta,siamês,calmo,mista,VERDADEIRO,VERDADEIRO,74
G00091,T3077745951,2025-09-11,M,2.0,4.0,65,FALSO,0,longa,preto,carinhoso,mista,VERDADEIRO,FALSO,86
G00092,T2879370408,2025-11-01,F,10.0,5.2,53,VERDADEIRO,5,média,tricolor,brincalhão,ração seca,VERDADEIRO,,62
G00093,T9314875352,2025-09-29,M,6.0,,64,VERDADEIRO,0,curta,tricolor,caçador,ração seca,VERDADEIRO,VERDADEIRO,80
G00094,T6470721215,2025-07-01,M,5.0,5.0,72,VERDADEIRO,2,curta,cinza,carinhoso,ração seca,FALSO,,80
G00095,T9043624060,2025-05-03,F,,3.5,81,VERDADEIRO,2,média,tricolor,brincalhão,mista,VERDADEIRO,VERDADEIRO,83
G00096,T1992026843,2025-09-03,M,9.0,5.8,62,VERDADEIRO,3,curta,laranja,caçador,ração seca,VERDADEIRO,VERDADEIRO,69
G00097,T9328529760,2025-08-31,M,5.0,4.1,50,VERDADEIRO,5,curta,tigrado,arisco,ração úmida,VERDADEIRO,VERDADEIRO,72
G00098,T5680443807,2025-05-17,F,1.0,4.9,61,VERDADEIRO,2,curta,cinza,brincalhão,ração seca,VERDADEIRO,VERDADEIRO,86
G00099,T7015797246,2025-05-29,F,,6.1,71,FALSO,2,curta,branco,calmo,ração seca,VERDADEIRO,VERDADEIRO,88
G00100,T4355879243,2025-05-15,M,16.0,,25,VERDADEIRO,3,média,tricolor,carinhoso,ração úmida,FALSO,VERDADEIRO,49
G00101,T1532262898,2025-01-17,M,14.0,5.8,22,VERDADEIRO,4,curta,branco,,ração úmida,VERDADEIRO,VERDADEIRO,51
G00102,T9621751972,2025-01-12,M,10.0,5.0,42,VERDADEIRO,4,curta,branco,calmo,mista,VERDADEIRO,VERDADEIRO,62
G00103,T9951384961,2025-01-31,F,3.0,2.9,61,FALSO,1,curta,siamês,calmo,mista,VERDADEIRO,FALSO,82
G00104,T4280921638,2025-06-04,F,16.0,4.4,22,VERDADEIRO,1,curta,siamês,carinhoso,ração úmida,VERDADEIRO,VERDADEIRO,52
G00105,T9494811367,2025-07-06,M,11.0,4.6,40,VERDADEIRO,3,curta,tigrado,caçador,ração seca,VERDADEIRO,VERDADEIRO,62
G00106,T2509536618,2025-05-30,F,10.0,3.7,61,VERDADEIRO,0,média,tigrado,brincalhão,mista,VERDADEIRO,FALSO,69
G00107,T2392160046,2025-12-15,M,6.0,6.2,61,VERDADEIRO,2,curta,cinza,brincalhão,mista,VERDADEIRO,VERDADEIRO,76
